Num Groups,Average EMD,EMD Estimation Time,EMD CSV File
1,0.009299671702702956,10.498257875442505,EMD-GROUP/EMD_SOLO_nGroup1.csv
2,0.011262328256759286,17.50386929512024,EMD-GROUP/EMD_SOLO_nGroup2.csv
10,0.020917481481083616,76.58068013191223,EMD-GROUP/EMD_SOLO_nGroup10.csv
50,0.0448716182059485,356.66061067581177,EMD-GROUP/EMD_SOLO_nGroup50.csv
200,0.08101311702405646,1072.0081768035889,EMD-GROUP/EMD_SOLO_nGroup200.csv
500,0.11307420014789409,2426.6436672210693,EMD-GROUP/EMD_SOLO_nGroup500.csv
1000,0.14348263046432622,4674.004909276962,EMD-GROUP/EMD_SOLO_nGroup1000.csv
2000,0.17797626628078575,9219.713362932205,EMD-GROUP/EMD_SOLO_nGroup2000.csv
5000,0.230083217912775,23045.58050251007,EMD-GROUP/EMD_SOLO_nGroup5000.csv
10000,0.2725066482933263,45963.06920838356,EMD-GROUP/EMD_SOLO_nGroup10000.csv
