Num Groups,Average EMD,EMD Estimation Time,EMD CSV File
1,0.0,4.315623044967651,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup1.csv
2,0.006035776455174084,6.697976112365723,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup2.csv
10,0.018964957050001806,27.283519983291626,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup10.csv
50,0.044311486503656995,117.1853551864624,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup50.csv
200,0.07814152054150174,328.1318049430847,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup200.csv
500,0.1049562080270706,769.923660993576,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup500.csv
1000,0.12758176845628422,1502.5050821304321,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup1000.csv
2000,0.15221159393417083,1435.0459609031677,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup2000.csv
5000,0.1895278590107046,1434.8598799705505,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup5000.csv
10000,0.22149644075490524,1408.8466589450836,EMD-GROUP-BUBBLE2/EMD_SOLO_nGroup10000.csv
